"","level","Overall","Burnout","Disengaged","Engaged","Ineffective","Overextended","p","test"
"n","","99","42","2","6","12","37","",""
"Age (mean (SD))","","24.38 (1.81)","24.21 (1.26)","24.00 (0.00)","24.17 (1.83)","25.42 (3.94)","24.30 (1.20)","0.339",""
"Year Level (%)","pbl 1","31 (31.3)","8 (19.0)","1 (50.0)","4 (66.7)","6 (50.0)","12 (32.4)","0.180",""
"","pbl 2","33 (33.3)","19 (45.2)","0 (0.0)","0 (0.0)","3 (25.0)","11 (29.7)","",""
"","pbl 3","35 (35.4)","15 (35.7)","1 (50.0)","2 (33.3)","3 (25.0)","14 (37.8)","",""
"Gender (%)","Female","69 (69.7)","32 (76.2)","1 (50.0)","3 (50.0)","7 (58.3)","26 (70.3)","0.550",""
"","Male","30 (30.3)","10 (23.8)","1 (50.0)","3 (50.0)","5 (41.7)","11 (29.7)","",""
"Current Area of Residence (%)","Dormitory/Apartment/Condominium","65 (65.7)","32 (76.2)","1 (50.0)","5 (83.3)","6 (50.0)","21 (56.8)","0.221",""
"","Home","34 (34.3)","10 (23.8)","1 (50.0)","1 (16.7)","6 (50.0)","16 (43.2)","",""
"Distance of Residence from School (%)","<9 km","89 (89.9)","39 (92.9)","2 (100.0)","5 (83.3)","11 (91.7)","32 (86.5)","0.839",""
"","9-15 km","10 (10.1)","3 (7.1)","0 (0.0)","1 (16.7)","1 (8.3)","5 (13.5)","",""
"Pre-medical Course (%)","BS Biology","11 (11.1)","3 (7.1)","1 (50.0)","1 (16.7)","1 (8.3)","5 (13.5)","0.973",""
"","BS Medtech","59 (59.6)","25 (59.5)","1 (50.0)","4 (66.7)","7 (58.3)","22 (59.5)","",""
"","BS Nursing","6 (6.1)","3 (7.1)","0 (0.0)","0 (0.0)","1 (8.3)","2 (5.4)","",""
"","BS Nutrition","2 (2.0)","1 (2.4)","0 (0.0)","0 (0.0)","0 (0.0)","1 (2.7)","",""
"","BS OT","2 (2.0)","2 (4.8)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","",""
"","BS Pharmacy","10 (10.1)","4 (9.5)","0 (0.0)","1 (16.7)","0 (0.0)","5 (13.5)","",""
"","BS PT","2 (2.0)","1 (2.4)","0 (0.0)","0 (0.0)","1 (8.3)","0 (0.0)","",""
"","Others","7 (7.1)","3 (7.1)","0 (0.0)","0 (0.0)","2 (16.7)","2 (5.4)","",""
"Currently has a medical scholarship (%)","no","91 (91.9)","39 (92.9)","2 (100.0)","5 (83.3)","10 (83.3)","35 (94.6)","0.668",""
"","yes","8 (8.1)","3 (7.1)","0 (0.0)","1 (16.7)","2 (16.7)","2 (5.4)","",""
"Smoker (%)","no","97 (98.0)","42 (100.0)","2 (100.0)","6 (100.0)","12 (100.0)","35 (94.6)","0.490",""
"","yes","2 (2.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","2 (5.4)","",""
"Self-prescribed Sleep Medication (%)","no","88 (88.9)","33 (78.6)","2 (100.0)","6 (100.0)","12 (100.0)","35 (94.6)","0.083",""
"","yes","11 (11.1)","9 (21.4)","0 (0.0)","0 (0.0)","0 (0.0)","2 (5.4)","",""
"Medications for Concentration/focus (%)","no","95 (96.0)","39 (92.9)","2 (100.0)","6 (100.0)","12 (100.0)","36 (97.3)","0.726",""
"","yes","4 (4.0)","3 (7.1)","0 (0.0)","0 (0.0)","0 (0.0)","1 (2.7)","",""
"audit_c_class (%)","negative","65 (65.7)","22 (52.4)","2 (100.0)","4 (66.7)","9 (75.0)","28 (75.7)","0.168",""
"","positive","34 (34.3)","20 (47.6)","0 (0.0)","2 (33.3)","3 (25.0)","9 (24.3)","",""
"Global_PSQI_Score (mean (SD))","","8.21 (2.91)","9.85 (2.69)","5.00 (NA)","6.17 (2.14)","6.09 (2.63)","7.62 (2.38)","NA",""
"godin_scale_score (%)","active","32 (32.3)","10 (23.8)","1 (50.0)","4 (66.7)","4 (33.3)","13 (35.1)","0.458",""
"","insufficiently active/sedentary","27 (27.3)","13 (31.0)","0 (0.0)","0 (0.0)","2 (16.7)","12 (32.4)","",""
"","moderately active","21 (21.2)","9 (21.4)","1 (50.0)","0 (0.0)","3 (25.0)","8 (21.6)","",""
"",NA,"19 (19.2)","10 (23.8)","0 (0.0)","2 (33.3)","3 (25.0)","4 (10.8)","",""
